fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.000,0.977,0.927,1.000,0.971,0.936,0.953,0.790,0.895,0.840,0.530
2.000,0.952,0.900,1.000,0.956,0.919,0.937,0.707,0.821,0.760,0.646
3.000,0.935,0.886,0.998,0.950,0.909,0.929,0.653,0.783,0.712,0.731
4.000,0.924,0.873,0.998,0.948,0.895,0.921,0.610,0.768,0.680,0.822
5.000,0.918,0.870,0.995,0.947,0.894,0.919,0.600,0.760,0.671,0.946
6.000,0.915,0.870,0.996,0.946,0.895,0.920,0.595,0.751,0.664,1.052
7.000,0.913,0.869,0.996,0.948,0.891,0.919,0.583,0.757,0.659,1.123
8.000,0.911,0.866,0.996,0.948,0.888,0.917,0.566,0.752,0.646,1.272
9.000,0.907,0.866,0.995,0.948,0.890,0.918,0.561,0.741,0.639,1.313
10.000,0.905,0.866,0.996,0.948,0.890,0.918,0.555,0.737,0.633,1.399
