fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.000,0.786,0.768,0.970,0.887,0.819,0.852,0.404,0.540,0.462,2.846
2.000,0.753,0.751,0.958,0.903,0.785,0.840,0.356,0.585,0.443,5.294
3.000,0.741,0.709,0.964,0.913,0.722,0.807,0.302,0.637,0.410,7.681
4.000,0.736,0.695,0.962,0.912,0.706,0.796,0.288,0.636,0.396,10.027
5.000,0.728,0.689,0.959,0.911,0.700,0.792,0.278,0.629,0.386,12.447
6.000,0.724,0.673,0.956,0.912,0.678,0.778,0.270,0.646,0.381,15.250
7.000,0.718,0.662,0.954,0.910,0.666,0.769,0.263,0.646,0.374,18.006
8.000,0.714,0.646,0.955,0.911,0.644,0.755,0.252,0.655,0.364,20.698
9.000,0.707,0.645,0.952,0.908,0.645,0.754,0.250,0.646,0.361,23.430
10.000,0.733,0.704,0.949,0.899,0.726,0.803,0.311,0.602,0.410,25.821
