fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.000,0.898,0.832,1.000,0.961,0.843,0.898,0.402,0.754,0.525,1.988
2.000,0.872,0.836,0.999,0.963,0.851,0.903,0.338,0.698,0.456,3.013
3.000,0.844,0.829,0.997,0.964,0.845,0.900,0.285,0.661,0.398,4.074
4.000,0.827,0.776,0.995,0.967,0.782,0.864,0.241,0.721,0.362,5.039
5.000,0.829,0.777,0.992,0.960,0.785,0.864,0.273,0.710,0.394,6.008
6.000,0.817,0.766,0.988,0.955,0.774,0.855,0.270,0.699,0.390,7.104
7.000,0.814,0.746,0.987,0.957,0.748,0.840,0.265,0.730,0.388,8.180
8.000,0.809,0.740,0.987,0.955,0.742,0.835,0.261,0.722,0.383,9.134
9.000,0.808,0.737,0.986,0.954,0.739,0.833,0.261,0.723,0.384,10.172
10.000,0.806,0.724,0.987,0.955,0.723,0.823,0.251,0.731,0.374,11.259
