feature,importance
avg_reviewer_review_count,10.945
avg_reviewer_experience,9.654
author_experience,9.027
author_review_num,7.480
total_change_num,7.462
project_changes_per_week,7.435
changes_per_author,5.566
author_changes_per_week,5.094
lines_added,4.631
author_merge_ratio,4.539
num_of_reviewers,3.550
lines_deleted,3.461
description_length,3.425
project_merge_ratio,3.007
subsystem_num,2.849
num_of_bot_reviewers,2.631
modify_entropy,2.599
num_of_directory,1.972
author_merge_ratio_in_project,1.774
files_modified,1.257
files_added,0.515
is_feature,0.341
files_deleted,0.302
is_bug_fixing,0.293
is_documentation,0.190
