fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.000,0.993,0.940,1.000,0.999,0.933,0.965,0.659,0.993,0.792,0.562
2.000,0.972,0.887,1.000,0.992,0.880,0.933,0.485,0.944,0.641,0.640
3.000,0.950,0.858,1.000,0.984,0.855,0.915,0.418,0.882,0.567,0.749
4.000,0.934,0.841,1.000,0.979,0.840,0.904,0.398,0.854,0.543,0.804
5.000,0.925,0.835,1.000,0.978,0.834,0.900,0.375,0.841,0.518,1.218
6.000,0.922,0.827,1.000,0.980,0.825,0.896,0.351,0.847,0.496,1.188
7.000,0.920,0.829,1.000,0.978,0.829,0.897,0.344,0.831,0.486,1.314
8.000,0.918,0.832,1.000,0.979,0.832,0.900,0.339,0.827,0.481,1.477
9.000,0.919,0.837,1.000,0.979,0.839,0.904,0.340,0.824,0.482,1.469
10.000,0.922,0.844,1.000,0.979,0.846,0.908,0.345,0.820,0.485,1.421
