fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.000,0.849,0.810,0.998,0.933,0.834,0.881,0.429,0.675,0.524,1.992
2.000,0.816,0.815,0.990,0.945,0.838,0.888,0.353,0.644,0.456,3.085
3.000,0.783,0.755,0.981,0.943,0.769,0.847,0.274,0.652,0.386,4.201
4.000,0.770,0.746,0.978,0.940,0.760,0.841,0.259,0.634,0.368,5.236
5.000,0.764,0.721,0.978,0.939,0.731,0.822,0.245,0.648,0.356,6.322
6.000,0.759,0.721,0.978,0.936,0.732,0.821,0.253,0.644,0.363,7.575
7.000,0.751,0.722,0.977,0.933,0.736,0.822,0.248,0.622,0.355,8.646
8.000,0.748,0.709,0.975,0.933,0.719,0.812,0.242,0.636,0.351,9.748
9.000,0.744,0.711,0.974,0.930,0.723,0.814,0.245,0.623,0.352,10.861
10.000,0.752,0.714,0.974,0.930,0.725,0.815,0.255,0.633,0.364,12.005
