feature,importance
author_review_num,8.547
total_change_num,8.396
avg_reviewer_review_count,8.179
author_experience,8.069
project_changes_per_week,7.005
avg_reviewer_experience,6.725
changes_per_author,6.279
subsystem_num,5.895
author_changes_per_week,5.389
lines_added,5.242
num_of_reviewers,4.943
project_merge_ratio,4.437
description_length,3.791
author_merge_ratio_in_project,3.769
lines_deleted,3.323
author_merge_ratio,2.675
modify_entropy,2.024
files_modified,1.236
num_of_directory,0.975
is_feature,0.837
files_added,0.803
num_of_bot_reviewers,0.603
is_bug_fixing,0.329
is_documentation,0.276
files_deleted,0.252
