feature,importance
avg_reviewer_experience,10.176
avg_reviewer_review_count,9.196
author_experience,8.178
author_review_num,7.602
num_of_reviewers,7.481
project_changes_per_week,7.141
author_changes_per_week,7.085
total_change_num,6.937
project_merge_ratio,5.526
changes_per_author,5.209
lines_added,4.112
lines_deleted,3.341
subsystem_num,3.242
description_length,2.598
author_merge_ratio,2.536
modify_entropy,2.495
author_merge_ratio_in_project,1.673
files_modified,1.338
is_feature,1.152
num_of_directory,0.924
num_of_bot_reviewers,0.923
files_added,0.723
is_documentation,0.173
is_bug_fixing,0.159
files_deleted,0.079
