fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.000,0.999,0.981,1.000,1.000,0.978,0.989,0.862,1.000,0.926,0.582
2.000,0.996,0.956,1.000,1.000,0.952,0.975,0.682,0.997,0.810,0.555
3.000,0.990,0.943,1.000,0.997,0.940,0.968,0.592,0.971,0.736,0.628
4.000,0.982,0.924,1.000,0.994,0.923,0.957,0.522,0.940,0.671,0.789
5.000,0.971,0.905,1.000,0.990,0.905,0.945,0.499,0.908,0.644,0.809
6.000,0.965,0.901,1.000,0.984,0.904,0.943,0.513,0.875,0.647,0.818
7.000,0.956,0.895,1.000,0.980,0.900,0.938,0.507,0.850,0.635,0.861
8.000,0.951,0.889,1.000,0.979,0.895,0.935,0.496,0.841,0.624,0.965
9.000,0.947,0.885,1.000,0.977,0.891,0.932,0.486,0.832,0.614,0.998
10.000,0.945,0.888,1.000,0.976,0.896,0.934,0.494,0.822,0.617,1.127
