fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.000,0.902,0.843,0.998,0.962,0.856,0.906,0.411,0.748,0.531,1.153
2.000,0.877,0.840,0.998,0.966,0.854,0.906,0.337,0.713,0.458,1.989
3.000,0.848,0.836,0.995,0.966,0.851,0.905,0.285,0.665,0.399,2.816
4.000,0.831,0.792,0.995,0.968,0.800,0.876,0.240,0.706,0.359,3.579
5.000,0.827,0.770,0.991,0.963,0.776,0.859,0.250,0.716,0.370,4.322
6.000,0.822,0.773,0.989,0.959,0.781,0.861,0.271,0.706,0.392,5.206
7.000,0.817,0.749,0.987,0.960,0.750,0.842,0.263,0.739,0.388,5.979
8.000,0.811,0.743,0.985,0.958,0.745,0.838,0.260,0.731,0.383,6.769
9.000,0.809,0.739,0.986,0.958,0.739,0.834,0.258,0.736,0.383,7.654
10.000,0.808,0.727,0.986,0.958,0.725,0.825,0.250,0.742,0.374,8.614
