feature,importance
avg_reviewer_review_count,10.972
avg_reviewer_experience,9.669
author_experience,9.245
author_review_num,7.606
project_changes_per_week,7.553
total_change_num,7.227
changes_per_author,5.426
author_changes_per_week,4.913
author_merge_ratio,4.719
lines_added,4.444
num_of_reviewers,3.639
description_length,3.533
lines_deleted,3.327
project_merge_ratio,2.933
num_of_bot_reviewers,2.840
subsystem_num,2.825
modify_entropy,2.473
num_of_directory,2.067
author_merge_ratio_in_project,1.705
files_modified,1.242
files_added,0.479
is_feature,0.381
files_deleted,0.301
is_bug_fixing,0.299
is_documentation,0.183
