feature,importance
avg_reviewer_review_count,10.73
avg_reviewer_experience,9.083
author_experience,7.743
project_changes_per_week,7.14
total_change_num,7.11
project_merge_ratio,6.857
changes_per_author,6.77
lines_added,6.203
author_review_num,5.627
author_changes_per_week,5.297
lines_deleted,4.687
reviewers_num,4.443
description_length,3.797
modify_entropy,3.257
author_merge_ratio,3.17
directory_num,2.79
files_modified,1.757
author_merge_ratio_in_project,1.52
files_added,0.7
files_deleted,0.463
is_feature,0.383
is_bug_fixing,0.26
is_documentation,0.213
