fold,auc,accuracy,cost_effectiveness,precision_m,recall_m,f1_score_m,precision_a,recall_a,f1_score_a,time
1.0,1.0,0.996,1.0,1.0,0.996,0.998,0.97,1.0,0.985,0.117
2.0,0.999,0.98,1.0,1.0,0.978,0.989,0.854,1.0,0.921,0.148
3.0,0.997,0.966,1.0,1.0,0.962,0.981,0.762,0.999,0.864,0.147
4.0,0.993,0.946,1.0,0.998,0.942,0.969,0.671,0.986,0.798,0.167
5.0,0.988,0.932,1.0,0.996,0.927,0.961,0.615,0.971,0.753,0.208
6.0,0.981,0.912,1.0,0.994,0.907,0.949,0.553,0.951,0.699,0.235
7.0,0.973,0.903,1.0,0.989,0.901,0.943,0.536,0.922,0.678,0.226
8.0,0.964,0.891,1.0,0.986,0.89,0.936,0.511,0.903,0.653,0.238
9.0,0.959,0.882,1.0,0.984,0.881,0.93,0.482,0.888,0.625,0.247
10.0,0.955,0.877,1.0,0.984,0.877,0.927,0.466,0.881,0.609,0.246
